# Time [sec]	adc_raw[0]	adc_raw[1]	adc_raw[2]	adc_raw[3]	adc_raw[4]	adc_raw[6]
89.719	2080	2115	1951	71025963	536870932	335814656
89.734	2080	2114	1951	71025963	536870932	335814656
89.75	2078	2113	1954	71025963	536870932	335814656
89.766	2078	2112	1953	71025963	536870932	335814656
89.781	2077	2112	1954	71025963	536870932	335814656
89.797	2079	2115	1953	71025963	536870932	335814656
89.813	2074	2118	1955	71025963	536870932	335814656
89.828	2070	2114	1962	71025963	536870932	335814656
89.844	2070	2117	1965	71025963	536870932	335814656
89.859	2073	2116	1965	71025963	536870932	335814656
89.875	2074	2117	1964	71025963	536870932	335814656
89.891	2073	2116	1963	71025963	536870932	335814656
89.906	2069	2115	1964	71025963	536870932	335814656
89.922	2073	2117	1966	71025963	536870932	335814656
89.938	2069	2115	1964	71025963	536870932	335814656
89.953	2073	2117	1967	71025963	536871044	335814656
89.969	2070	2118	1966	71025963	536879648	335814656
89.984	2069	2117	1964	71025963	536879648	335814656
90	2071	2118	1967	37471531	536871334	335814656
90.016	2073	2116	1970	37471531	536871336	335814656
90.031	2067	2117	1969	37471531	536871336	335814656
90.047	2068	2115	1968	37471531	536871336	335814656
90.063	2071	2116	1968	37471531	536871336	335814656
90.078	2071	2118	1968	37471531	536871336	335814656
90.094	2072	2116	1971	37471531	536871336	335814656
90.109	2071	2117	1967	37471531	536871336	335814656
90.125	2070	2117	1969	37471531	536871336	335814656
90.141	2069	2121	1971	37471531	536871336	335814656
90.156	2065	2118	1970	37471531	536871336	335814656
90.172	2067	2114	1971	37471531	536871336	335814656
90.188	2067	2119	1974	37471531	536871336	335814656
90.203	2069	2121	1974	37471531	536871336	335814656
90.219	2067	2128	1977	37471531	536871336	335814656
90.234	2065	2120	1975	37471531	536871336	335814656
90.25	2067	2120	1975	37471531	536871336	335814656
90.266	2061	2117	1977	37471531	536871336	335814656
90.281	2060	2117	1980	37471531	536871336	335814656
90.297	2065	2120	1984	37471531	536871336	335814656
90.313	2065	2116	1983	37471531	536871336	335814656
90.328	2060	2119	1984	37471531	536871336	335814656
90.344	2061	2118	1985	37471531	536871336	335814656
90.359	2064	2121	1985	37471531	536871336	335814656
90.375	2063	2121	1989	37471531	536871336	335814656
90.391	2061	2118	1988	37471531	536871336	335814656
